MSG,data_excel,anno,mese,data,ora,critical_day
@_CM_24_ magari ci fosse l'elfo. Sono nel treno scassato delle 14:02. che caldo!!!!!,4/6/2011,2011,4,6,12,noheat
@andreablu l'autostrada e il caldo mi han distrutta.spalla sx andata,4/6/2011,2011,4,6,12,noheat
@biawerner vou intornar o caldo hj kkkkkkkkkkkkk,4/6/2011,2011,4,6,12,noheat
"@cromobox Fa caldo! Si lavora, si studia, si canta...ora sono in pausa pranzo!  ;)",4/6/2011,2011,4,6,12,noheat
"@fuckyesfabregas Lo so ahah, si muore di caldo ed è pieno di marocchini che ti rincorrono per farti comprare qualcosa ahah o.o",4/6/2011,2011,4,6,12,noheat
@gamo0sha afa 3liiCh ;Pp,4/6/2011,2011,4,6,12,noheat
@LauraPixies @Imaginary82 @Moki418 :))) tutto bene? io sto morendo di caldo,4/6/2011,2011,4,6,12,noheat
@LolloBdP @Racheracherache caldo ce l'avrai tu che sei un maiale. tze =) non riesco nemmeno a scriverloooo,4/6/2011,2011,4,6,12,noheat
"@nataliacavalli  qua tanto caldo, improvviso, mi sa che può anche cambiare...",4/6/2011,2011,4,6,12,noheat
"@sandrinoghost @Giuliana_Miglio benissimo, oggi non so perché ma mi sento felice :D boh sarà il caldo :) :D",4/6/2011,2011,4,6,12,noheat
@Signoradicarlo fa  caldo,4/6/2011,2011,4,6,12,noheat
anche da te fa caldo oggi? preparati domani ci saranno 28 gradi ;) (@SunKissedGomez live on http://twitcam.com/4eops),4/6/2011,2011,4,6,12,noheat
Anche oggi è una bella giornata e fa caldo! Appena ne ho il tempo e la voglia devo cominciare a fare il cambio maglie nei cassetti...,4/6/2011,2011,4,6,12,noheat
aspettando il prof. Dio che #caldo in quest'aula,4/6/2011,2011,4,6,12,noheat
Con queste belle giornate non mi va di stare in casa :| vorrei correre in giro sui prati con il sole caldo e la musica a palla *-*,4/6/2011,2011,4,6,12,noheat
con questo caldo potremmo andare a trovare il bell uomo e farci un bagnetto ! Hihi @alexbianchix @La_giga @gbp77 @onedayray,4/6/2011,2011,4,6,12,noheat
E voi siete più tipi da #vinitaly o da La grande sete? http://goo.gl/cQIw9,4/6/2011,2011,4,6,12,noheat
